budget,target,rank,expr,value,cost,rel_err,family,sibling_or_trash
20,g_decode_alpha_ge,1,((exp(2))-((e)^2))^3 * 5/2,1.7516230804060213e-45,19,0.0001063582933916758,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,2,(((exp(2))-((e)^2))^3)/(2/5),1.7516230804060213e-45,19,0.0001063582933916758,div,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,3,(((3 * exp(e))^-3)^3)^3,1.7510016967113454e-45,17,0.00046106794087053026,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,4,(((3 * exp(e))^-3)^-3)^-3,1.7510016967113454e-45,19,0.00046106794087053026,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,5,(((3 * exp(e))^3)^-3)^3,1.7510016967113448e-45,17,0.0004610679408708855,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,6,(((3 * exp(e))^3)^3)^-3,1.7510016967113445e-45,17,0.0004610679408710631,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,7,(1)/((((3 * exp(e))^3)^3)^3),1.7510016967113445e-45,19,0.0004610679408710631,div,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,8,((((2 * alpha)^2)^2)^2)^3 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,9,((((2 * alpha)^2)^2)^3)^2 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,10,((((2 * alpha)^2)^3)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,11,((((2 * alpha)^3)^2)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,12,(((2/3)-(1))^-1 + 3 * e)^3,1.7591145028501428e-45,18,0.004170032987932932,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,13,((exp(log(3)))-(3) * e)^3,1.7591145028501428e-45,19,0.004170032987932932,pow,TRASH_BROAD_GRAMMAR
